cord_uid,sha,source_x,title,doi,pmcid,pubmed_id,license,abstract,publish_time,authors,journal,mag_id,who_covidence_id,arxiv_id,pdf_json_files,pmc_json_files,url,s2_id
cord-000038,sha-633292,Elsevier,transmission meta-analysis in immunocompromised patients: a comprehensive analysis,10.1000/344856,PMC4764599,,arxiv,This study investigates antibody in the context of pandemic response. Methods included analysis of 3245 participants over 5 months. Results show significant findings related to antibody management and treatment outcomes.,2019-12-29 08:14:10.025012506,"Author38, J.; Smith, A.; Johnson, B.",Virology,5164358805.0,WHO-277997,,pdf_json/8025.json,pmc_json/PMC7940633.json,https://example.com/paper/38,s2-200036281
cord-000039,sha-601498,PMC,transmission meta-analysis in healthcare workers: a comprehensive analysis,10.1000/501702,PMC1137719,,els-covid,This study investigates coronavirus in the context of pandemic response. Methods included analysis of 4032 participants over 4 months. Results show significant findings related to coronavirus management and treatment outcomes.,2019-12-30 02:08:13.446723362,"Author39, J.; Smith, A.; Johnson, B.",The Lancet,,,,,pmc_json/PMC2588264.json,https://example.com/paper/39,s2-935835856
cord-000040,sha-215018,medRxiv,COVID-19 cross-sectional study in immunocompromised patients: a comprehensive analysis,10.1000/838423,PMC7575106,82601152.0,cc-by,This study investigates diagnosis in the context of pandemic response. Methods included analysis of 4063 participants over 20 months. Results show significant findings related to diagnosis management and treatment outcomes.,2019-12-30 20:02:16.868434217,"Author40, J.; Smith, A.; Johnson, B.",PLOS ONE,,,,,,https://example.com/paper/40,s2-126205371
cord-000041,sha-544580,arXiv,vaccine observational study in children: a comprehensive analysis,10.1000/149607,PMC8337827,93649585.0,arxiv,This study investigates public health in the context of pandemic response. Methods included analysis of 4606 participants over 10 months. Results show significant findings related to public health management and treatment outcomes.,2019-12-31 13:56:20.290145072,"Author41, J.; Smith, A.; Johnson, B.",Cell,6282038487.0,,,pdf_json/1847.json,pmc_json/PMC4993225.json,https://example.com/paper/41,s2-304352365
cord-000042,sha-650080,arXiv,symptoms cohort study in elderly: a comprehensive analysis,10.1000/502961,,34542035.0,cc-by,This study investigates vaccine in the context of pandemic response. Methods included analysis of 2124 participants over 23 months. Results show significant findings related to vaccine management and treatment outcomes.,2020-01-01 07:50:23.711855928,"Author42, J.; Smith, A.; Johnson, B.",Nature Medicine,5411949767.0,,arxiv:6684.2321,,,https://example.com/paper/42,s2-312374914
cord-000043,sha-588968,Elsevier,coronavirus systematic review in elderly: a comprehensive analysis,10.1000/468808,PMC9942224,,cc-by-sa,This study investigates clinical in the context of pandemic response. Methods included analysis of 334 participants over 20 months. Results show significant findings related to clinical management and treatment outcomes.,2020-01-02 01:44:27.133566783,"Author43, J.; Smith, A.; Johnson, B.",Nature Medicine,,,,,pmc_json/PMC9235196.json,https://example.com/paper/43,s2-111984904
cord-000044,sha-558128,bioRxiv,vaccine cross-sectional study in pregnant women: a comprehensive analysis,10.1000/309605,PMC3034730,79009051.0,cc-by-nc,This study investigates antiviral in the context of pandemic response. Methods included analysis of 4976 participants over 4 months. Results show significant findings related to antiviral management and treatment outcomes.,2020-01-02 19:38:30.555277639,"Author44, J.; Smith, A.; Johnson, B.",Virology,7666118628.0,WHO-923343,,,pmc_json/PMC7524757.json,https://example.com/paper/44,s2-847709619
cord-000045,sha-154645,medRxiv,coronavirus systematic review in adults: a comprehensive analysis,10.1000/642618,,65074476.0,cc-by-sa,This study investigates sars-cov-2 in the context of pandemic response. Methods included analysis of 3015 participants over 16 months. Results show significant findings related to sars-cov-2 management and treatment outcomes.,2020-01-03 13:32:33.976988494,"Author45, J.; Smith, A.; Johnson, B.",Nature,5226503699.0,,,,,https://example.com/paper/45,s2-275384249
cord-000046,sha-631520,bioRxiv,outbreak cross-sectional study in elderly: a comprehensive analysis,10.1000/795438,,62211063.0,els-covid,This study investigates epidemiology in the context of pandemic response. Methods included analysis of 999 participants over 4 months. Results show significant findings related to epidemiology management and treatment outcomes.,2020-01-04 07:26:37.398699350,"Author46, J.; Smith, A.; Johnson, B.",PLOS ONE,,,,pdf_json/4320.json,,https://example.com/paper/46,s2-711507643
cord-000047,sha-571426,arXiv,transmission cross-sectional study in immunocompromised patients: a comprehensive analysis,10.1000/810692,PMC9537968,74413719.0,els-covid,This study investigates antibody in the context of pandemic response. Methods included analysis of 1860 participants over 23 months. Results show significant findings related to antibody management and treatment outcomes.,2020-01-05 01:20:40.820410205,"Author47, J.; Smith, A.; Johnson, B.",Emerging Infectious Diseases,5738535042.0,,arxiv:1164.6678,pdf_json/4450.json,,https://example.com/paper/47,s2-114557777
cord-000048,sha-679054,bioRxiv,respiratory meta-analysis in adults: a comprehensive analysis,10.1000/597337,PMC7509000,,arxiv,This study investigates sars-cov-2 in the context of pandemic response. Methods included analysis of 3548 participants over 22 months. Results show significant findings related to sars-cov-2 management and treatment outcomes.,2020-01-05 19:14:44.242121060,"Author48, J.; Smith, A.; Johnson, B.",Cell,,,,pdf_json/2807.json,pmc_json/PMC8784413.json,https://example.com/paper/48,s2-258805680
cord-000049,sha-744889,PMC,public health cross-sectional study in immunocompromised patients: a comprehensive analysis,10.1000/876422,PMC2154969,41938519.0,els-covid,This study investigates pandemic in the context of pandemic response. Methods included analysis of 2631 participants over 20 months. Results show significant findings related to pandemic management and treatment outcomes.,2020-01-06 13:08:47.663831916,"Author49, J.; Smith, A.; Johnson, B.",New England Journal of Medicine,3403071285.0,,,,pmc_json/PMC1022642.json,https://example.com/paper/49,s2-363037533
cord-000050,sha-181588,medRxiv,prevention meta-analysis in adults: a comprehensive analysis,10.1000/321437,PMC2349815,72829118.0,els-covid,This study investigates clinical in the context of pandemic response. Methods included analysis of 981 participants over 9 months. Results show significant findings related to clinical management and treatment outcomes.,2020-01-07 07:02:51.085542771,"Author50, J.; Smith, A.; Johnson, B.",Nature Communications,1840567256.0,,,pdf_json/1418.json,,https://example.com/paper/50,s2-713635972
cord-000051,sha-279614,bioRxiv,pandemic cohort study in adults: a comprehensive analysis,10.1000/405480,,37902316.0,cc-by-sa,This study investigates treatment in the context of pandemic response. Methods included analysis of 3456 participants over 20 months. Results show significant findings related to treatment management and treatment outcomes.,2020-01-08 00:56:54.507253627,"Author51, J.; Smith, A.; Johnson, B.",JAMA,9661300736.0,,,,,https://example.com/paper/51,s2-155870909
cord-000052,sha-630201,PMC,treatment case series in immunocompromised patients: a comprehensive analysis,10.1000/632358,PMC9768757,,cc-by,This study investigates transmission in the context of pandemic response. Methods included analysis of 1361 participants over 4 months. Results show significant findings related to transmission management and treatment outcomes.,2020-01-08 18:50:57.928964482,"Author52, J.; Smith, A.; Johnson, B.",Emerging Infectious Diseases,,,,,,https://example.com/paper/52,s2-852957555
cord-000053,sha-736694,Elsevier,infection case series in children: a comprehensive analysis,10.1000/625608,,82530486.0,cc-by-nc,This study investigates epidemiology in the context of pandemic response. Methods included analysis of 1923 participants over 5 months. Results show significant findings related to epidemiology management and treatment outcomes.,2020-01-09 12:45:01.350675338,"Author53, J.; Smith, A.; Johnson, B.",BMJ,1271674000.0,WHO-999622,,,,https://example.com/paper/53,s2-278439839
cord-000054,sha-213693,bioRxiv,antibody cross-sectional study in elderly: a comprehensive analysis,10.1000/975475,PMC8023684,80875308.0,els-covid,This study investigates clinical in the context of pandemic response. Methods included analysis of 1928 participants over 11 months. Results show significant findings related to clinical management and treatment outcomes.,2020-01-10 06:39:04.772386193,"Author54, J.; Smith, A.; Johnson, B.",Nature Microbiology,,,,pdf_json/4818.json,pmc_json/PMC3209185.json,https://example.com/paper/54,s2-960387572
cord-000055,sha-717737,medRxiv,public health cohort study in children: a comprehensive analysis,10.1000/401065,PMC8504594,,els-covid,This study investigates vaccine in the context of pandemic response. Methods included analysis of 327 participants over 4 months. Results show significant findings related to vaccine management and treatment outcomes.,2020-01-11 00:33:08.194097048,"Author55, J.; Smith, A.; Johnson, B.",Nature,3260049080.0,,,pdf_json/4674.json,pmc_json/PMC8017004.json,https://example.com/paper/55,s2-458974746
cord-000056,sha-110567,PMC,SARS-CoV-2 clinical trial in adults: a comprehensive analysis,10.1000/106589,PMC7503274,67396585.0,cc-by-sa,This study investigates immunity in the context of pandemic response. Methods included analysis of 4763 participants over 7 months. Results show significant findings related to immunity management and treatment outcomes.,2020-01-11 18:27:11.615807904,"Author56, J.; Smith, A.; Johnson, B.",New England Journal of Medicine,,,,,pmc_json/PMC6980549.json,https://example.com/paper/56,s2-691107749
cord-000057,sha-662667,bioRxiv,antiviral meta-analysis in children: a comprehensive analysis,10.1000/979427,PMC5890707,,cc-by-nc,This study investigates pandemic in the context of pandemic response. Methods included analysis of 1220 participants over 10 months. Results show significant findings related to pandemic management and treatment outcomes.,2020-01-12 12:21:15.037518759,"Author57, J.; Smith, A.; Johnson, B.",Nature Communications,9579207933.0,,,pdf_json/2829.json,pmc_json/PMC9244070.json,https://example.com/paper/57,s2-791321282
cord-000058,sha-830328,Elsevier,immunity meta-analysis in children: a comprehensive analysis,10.1000/639877,PMC1167659,,cc-by-sa,This study investigates coronavirus in the context of pandemic response. Methods included analysis of 2538 participants over 21 months. Results show significant findings related to coronavirus management and treatment outcomes.,2020-01-13 06:15:18.459229615,"Author58, J.; Smith, A.; Johnson, B.",BMJ,5233010813.0,WHO-247993,,,pmc_json/PMC8127785.json,https://example.com/paper/58,s2-445657231
cord-000059,sha-362463,bioRxiv,infection clinical trial in immunocompromised patients: a comprehensive analysis,10.1000/136375,,30431953.0,cc-by,This study investigates public health in the context of pandemic response. Methods included analysis of 1680 participants over 21 months. Results show significant findings related to public health management and treatment outcomes.,2020-01-14 00:09:21.880940470,"Author59, J.; Smith, A.; Johnson, B.",Nature Medicine,2928145867.0,WHO-807595,,,pmc_json/PMC7770977.json,https://example.com/paper/59,s2-384831374
cord-000060,sha-190005,PMC,treatment cohort study in patients: a comprehensive analysis,10.1000/143085,,80397267.0,cc-by-sa,This study investigates sars-cov-2 in the context of pandemic response. Methods included analysis of 4332 participants over 20 months. Results show significant findings related to sars-cov-2 management and treatment outcomes.,2020-01-14 18:03:25.302651326,"Author60, J.; Smith, A.; Johnson, B.",Emerging Infectious Diseases,3235459260.0,,,pdf_json/1886.json,pmc_json/PMC9629392.json,https://example.com/paper/60,s2-208218055
cord-000061,sha-997422,bioRxiv,COVID-19 systematic review in elderly: a comprehensive analysis,10.1000/685128,PMC8478502,82118497.0,cc-by-nc,This study investigates respiratory in the context of pandemic response. Methods included analysis of 179 participants over 2 months. Results show significant findings related to respiratory management and treatment outcomes.,2020-01-15 11:57:28.724362181,"Author61, J.; Smith, A.; Johnson, B.",New England Journal of Medicine,,,,,pmc_json/PMC3531435.json,https://example.com/paper/61,s2-245543400
cord-000062,sha-847386,medRxiv,clinical case series in patients: a comprehensive analysis,10.1000/798560,PMC7152520,12323426.0,cc-by-nc,This study investigates prevention in the context of pandemic response. Methods included analysis of 193 participants over 16 months. Results show significant findings related to prevention management and treatment outcomes.,2020-01-16 05:51:32.146073036,"Author62, J.; Smith, A.; Johnson, B.",Nature,1094891909.0,WHO-715159,arxiv:3061.7283,,,https://example.com/paper/62,s2-379115267
